"","X","Title","Author","Subject","Abstract","Meta"
"76",76,"risk and response in large language models: evaluating key threat categories","bahareh harandizadeh, abel salinas, fred morstatter","computation and language (cs.cl)","this paper explores the pressing issue of risk assessment in large language models (llms) as they become increasingly prevalent in various applications. focusing on how reward models, which are designed to fine-tune pretrained llms to align with human values, perceive and categorize different types of risks, we delve into the challenges posed by the subjective nature of preference-based training data. by utilizing the anthropic red-team dataset, we analyze major risk categories, including information hazards, malicious uses, and discrimination/hateful content. our findings indicate that llms tend to consider information hazards less harmful, a finding confirmed by a specially developed regression model. additionally, our analysis shows that llms respond less stringently to information hazards compared to other risks. the study further reveals a significant vulnerability of llms to jailbreaking attacks in information hazard scenarios, highlighting a critical security concern in llm risk assessment and emphasizing the need for improved ai safety measures.",2024-03-22
"77",77,"two-scale analysis for multiscale landau-lifshitz-gilbert equation: theory and numerical methods","xiaofei guan, hang qi, zhiwei sun","numerical analysis (math.na)","this paper discusses the theory and numerical method of two-scale analysis for the multiscale landau-lifshitz-gilbert equation in composite ferromagnetic materials. the novelty of this work can be summarized in three aspects: firstly, the more realistic and complex model is considered, including the effects of the exchange field, anisotropy field, stray field, and external magnetic field. the explicit convergence orders in the $h^$ norm between the classical solution and the two-scale solution are obtained. secondly, we propose a robust numerical framework, which is employed in several comprehensive experiments to validate the convergence results for the periodic and neumann problems. thirdly, we design an improved implicit numerical scheme to reduce the required number of iterations and relaxes the constraints on the time step size, which can significantly improve computational efficiency. specifically, the projection and the expansion methods are given to overcome the inherent non-consistency in the initial data between the multiscale problem and homogenized problem.",2024-03-22
"78",78,"creating a spatial vulnerability index for environmental health","aiden price, kerrie mengersen, michael rigby, paula fiévez","methodology (stat.me)","extreme natural hazards are increasing in frequency and intensity. these natural changes in our environment, combined with man-made pollution, have substantial economic, social and health impacts globally. the impact of the environment on human health (environmental health) is becoming well understood in international research literature. however, there are significant barriers to understanding key characteristics of this impact, related to substantial data volumes, data access rights and the time required to compile and compare data over regions and time. this study aims to reduce these barriers in australia by creating an open data repository of national environmental health data and presenting a methodology for the production of health outcome-weighted population vulnerability indices related to extreme heat, extreme cold and air pollution at various temporal and geographical resolutions.
current state-of-the-art methods for the calculation of vulnerability indices include equal weight percentile ranking and the use of principal component analysis (pca). the weighted vulnerability index methodology proposed in this study offers an advantage over others in the literature by considering health outcomes in the calculation process. the resulting vulnerability percentiles more clearly align population sensitivity and adaptive capacity with health risks. the temporal and spatial resolutions of the indices enable national monitoring on a scale never before seen across australia. additionally, we show that a weekly temporal resolution can be used to identify spikes in vulnerability due to changes in relative national environmental exposure.",2024-03-22
"79",79,"addressing concept shift in online time series forecasting: detect-then-adapt","yifan zhang, weiqi chen, zhaoyang zhu, dalin qin, liang sun, xue wang, qingsong wen, zhang zhang, liang wang, rong jin","machine learning (cs.lg)","online updating of time series forecasting models aims to tackle the challenge of concept drifting by adjusting forecasting models based on streaming data. while numerous algorithms have been developed, most of them focus on model design and updating. in practice, many of these methods struggle with continuous performance regression in the face of accumulated concept drifts over time. to address this limitation, we present a novel approach, concept \textbf{d}rift \textbf{d}etection an\textbf{d} \textbf{a}daptation (da), that first detects drifting conception and then aggressively adapts the current model to the drifted concepts after the detection for rapid adaption. to best harness the utility of historical data for model adaptation, we propose a data augmentation strategy introducing gaussian noise into existing training instances. it helps mitigate the data distribution gap, a critical factor contributing to train-test performance inconsistency. the significance of our data augmentation process is verified by our theoretical analysis. our empirical studies across six datasets demonstrate the effectiveness of da in improving model adaptation capability. notably, compared to a simple temporal convolutional network (tcn) baseline, da reduces the average mean squared error (mse) by $.\%$. for the state-of-the-art (sota) model, the mse is reduced by $.\%$.",2024-03-22
"80",80,"contrastive learning on multimodal analysis of electronic health records","tianxi cai, feiqing huang, ryumei nakada, linjun zhang, doudou zhou","machine learning (stat.ml)","electronic health record (ehr) systems contain a wealth of multimodal clinical data including structured data like clinical codes and unstructured data such as clinical notes. however, many existing ehr-focused studies has traditionally either concentrated on an individual modality or merged different modalities in a rather rudimentary fashion. this approach often results in the perception of structured and unstructured data as separate entities, neglecting the inherent synergy between them. specifically, the two important modalities contain clinically relevant, inextricably linked and complementary health information. a more complete picture of a patient's medical history is captured by the joint analysis of the two modalities of data. despite the great success of multimodal contrastive learning on vision-language, its potential remains under-explored in the realm of multimodal ehr, particularly in terms of its theoretical understanding. to accommodate the statistical analysis of multimodal ehr data, in this paper, we propose a novel multimodal feature embedding generative model and design a multimodal contrastive loss to obtain the multimodal ehr feature representation. our theoretical analysis demonstrates the effectiveness of multimodal learning compared to single-modality learning and connects the solution of the loss function to the singular value decomposition of a pointwise mutual information matrix. this connection paves the way for a privacy-preserving algorithm tailored for multimodal ehr feature representation learning. simulation studies show that the proposed algorithm performs well under a variety of configurations. we further validate the clinical utility of the proposed algorithm in real-world ehr data.",2024-03-22
"81",81,"computational approaches for exponential-family factor analysis","liang wang, luis carvalho","methodology (stat.me)","we study a general factor analysis framework where the $n$-by-$p$ data matrix is assumed to follow a general exponential family distribution entry-wise. while this model framework has been proposed before, we here further relax its distributional assumption by using a quasi-likelihood setup. by parameterizing the mean-variance relationship on data entries, we additionally introduce a dispersion parameter and entry-wise weights to model large variations and missing values. the resulting model is thus not only robust to distribution misspecification but also more flexible and able to capture non-gaussian covariance structures of the data matrix. our main focus is on efficient computational approaches to perform the factor analysis. previous modeling frameworks rely on simulated maximum likelihood (sml) to find the factorization solution, but this method was shown to lead to asymptotic bias when the simulated sample size grows slower than the square root of the sample size $n$, eliminating its practical application for data matrices with large $n$. borrowing from expectation-maximization (em) and stochastic gradient descent (sgd), we investigate three estimation procedures based on iterative factorization updates. our proposed solution does not show asymptotic biases, and scales even better for large matrix factorizations with error $o(/p)$. to support our findings, we conduct simulation experiments and discuss its application in three case studies.",2024-03-22
"82",82,"analysis of log data from an international online educational assessment system: a multi-state survival modeling approach to reaction time between and across action sequence","jina park, ick hoon jin, minjeong jeon","applications (stat.ap)","with increasingly available computer-based or online assessments, researchers have shown keen interest in analyzing log data to improve our understanding of test takers' problem-solving processes. in this paper, we propose a multi-state survival model (msm) to action sequence data from log files, focusing on modeling test takers' reaction times between actions, in order to investigate which factors and how they influence test takers' transition speed between actions. in particular, we focus on the effects of the occurrence and timing of key actions that differentiate correct answers from incorrect answers. we demonstrate our proposed approach with problem-solving test items from the the programme for international assessment of adult competence (piaac) problem-solving test items.",2024-03-22
"83",83,"unraveling contagion origins: optimal estimation through maximum-likelihood and starlike tree approximation in markovian spreading models","pei-duo yu, chee wei tan, liang zheng, chao zhao","social and information networks (cs.si)","identifying the source of epidemic-like spread in networks is crucial for tasks like removing internet viruses or finding the rumor source in online social networks. the challenge lies in tracing the source from a snapshot observation of infected nodes. how do we accurately pinpoint the source? utilizing snapshot data, we apply a probabilistic approach, focusing on the graph boundary and the observed time, to detect sources via an effective maximum likelihood algorithm. a novel starlike tree approximation extends applicability to general graphs, demonstrating versatility. we highlight the utility of the gamma function for analyzing the asymptotic behavior of the likelihood ratio between nodes. comprehensive evaluations confirm algorithmic effectiveness in diverse network scenarios, advancing rumor source detection in large-scale network analysis and information dissemination strategies.",2024-03-22
"84",84,"description of cuinp$_{}$s$_{}$ ferrielectrics in a mixed ising model","r. yevych, v. liubachko, v. hryts, m. medulych, a. kohutych, yu. vysochanskii","soft condensed matter (cond-mat.soft)","the appearance of spontaneous polarization in cuinp$_{}$s$_{}$ ferrielectrics is related to the second order jahn-teller effect for copper cations located in a double-well local potential, the stereoactivity of indium cations located in a three-well local potential, as well as the valence fluctuations of phosphorus cations. the paraelectric to ferrielectric phase transition is primarily determined by the coupling of indium cations with their surroundings. this transition can be analyzed using the mixed ising model with spins $s = /$ and $s = $. the spectrum of pseudospin fluctuations at different temperatures was calculated using a mean-field approach for a set of quantum anharmonic oscillators. the results were then compared with raman spectroscopy data for cuinp$_{}$s$_{}$ crystal. the analysis indicates that the lattice anharmonicity below  k, is mainly determined by the indium sublattice, leading to the coexistence of the glassy state and ferrielectric phase. above  k, the anharmonicity of the copper sublattice activates the ionic conductivity and results in the existence of a long-ranged fluctuated cluster of spontaneous polarization in a temperature interval of the paraelectric phase above $t_{c}$.",2024-03-21
"85",85,"revisiting the wetting behavior of solid surfaces by water-like models within a density functional theory","a. kozina, m. aguilar, o. pizio, s. sokołowski","soft condensed matter (cond-mat.soft)","we perform the analysis of predictions of a classical density functional theory for associating fluids with different association strength concerned with wetting of solid surfaces. the four associating sites water-like models with non-associative square-well attraction parametrized by clark et al. [mol. phys., , , ] are considered. the fluid-solid potential is assumed to have a -- functional form. the growth of water film on the substrate upon changing the chemical potential is described. the wetting and prewetting critical temperatures, as well as the prewetting phase diagram are evaluated for different fluid-solid attraction strength from the analysis of the adsorption isotherms. moreover, the temperature dependence of the contact angle is obtained from the young equation. it yields estimates for the wetting temperature as well. theoretical findings are compared with experimental results and in a few cases with data from computer simulations. the theory is successful and quite accurate in describing the wetting temperature and contact angle changes with temperature for different values of fluid-substrate attraction. moreover, the method provides an easy tool to study other associating fluids on solids of importance for chemical engineering, in comparison with laboratory experiments and computer simulations.",2024-03-21
"86",86,"non-holomorphic modular forms from zeta generators","daniele dorigoni, mehregan doroudiani, joshua drewitt, martijn hidding, axel kleinschmidt, oliver schlotterer, leila schneps, bram verbeek","high energy physics - theory (hep-th)","we study non-holomorphic modular forms built from iterated integrals of holomorphic modular forms for sl$(,\mathbb z)$ known as equivariant iterated eisenstein integrals. a special subclass of them furnishes an equivalent description of the modular graph forms appearing in the low-energy expansion of string amplitudes at genus one. notably the fourier expansion of modular graph forms contains single-valued multiple zeta values. we deduce the appearance of products and higher-depth instances of multiple zeta values in equivariant iterated eisenstein integrals, and ultimately modular graph forms, from the appearance of simpler odd riemann zeta values. this analysis relies on so-called zeta generators which act on certain non-commutative variables in the generating series of the iterated integrals. from an extension of these non-commutative variables we incorporate iterated integrals involving holomorphic cusp forms into our setup and use them to construct the modular completion of triple eisenstein integrals. our work represents a fully explicit realisation of the modular graph forms within brown's framework of equivariant iterated eisenstein integrals and reveals structural analogies between single-valued period functions appearing in genus zero and one string amplitudes.",2024-03-21
"87",87,"normalizing flows for domain adaptation when identifying $λ$ hyperon events","rowan kelleher, anselm vossen","data analysis, statistics and probability (physics.data-an)","this study focuses on the novel application of a normalizing flow as a method of domain adaptation. normalizing flows offer a way to transform data points between two different distributions. the present study investigates a method of transforming latent representations of physics data to a normal distribution and then to a physics distribution again. the final distribution models a simulated distribution. following the transformation process, the data can be classified by a neural network trained on labeled simulation data. the present study succeeds in training two normalizing flows that can transform between data (or simulation) and a gaussian distribution.",2024-03-21
"88",88,"identifying attention-deficit/hyperactivity disorder through the electroencephalogram complexity","dimitri marques abramov, henrique santos lima, vladimir lazarev, paulo ricardo galhanone, constantino tsallis","neurons and cognition (q-bio.nc)","there are reasons to suggest that a number of mental disorders may be related to alteration in the neural complexity (nc). thus, quantitative analysis of nc could be helpful in classifying mental conditions and clarifying our understanding about them. here, we have worked with youths, typical and with attention-deficit/hyperactivity disorder (adhd), whose neural complexity was assessed using q-statistics applied to the electroencephalogram (eeg). the eeg was recorded while subjects performed the visual attention network test (ant) based on the oddball paradigm and during a shortpretask period of resting state. time intervals of the eeg amplitudes that passed a threshold (signal regularity indicator) were collected from task and pretask signals from each subject. the data were satisfactorily fitted with a stretched $q$-exponential including a power-law prefactor(characterized by the exponent c), thus determining the best $(c, q)$ for each subject, indicative of their individual complexity. we found larger values of $q$ and $c$ in adhd subjects as compared with the typical subjects both at task and pretask periods, the task values for both groups being larger than at rest. the $c$ parameter was highly specific in relation to dsm diagnosis for inattention, where well-defined clusters were observed. the parameter values were organized in four well-defined clusters in $(c, q)$-space. as expected, the tasks apparently induced greater complexity in neural functional states with likely greater amount of internal information processing. the results suggest that complexity is higher in adhd subjects than in typical pairs. the distribution of values in the $(c, q)$-space derived from $q$-statistics seems to be a promising biomarker for adhd diagnosis.",2024-03-21
"89",89,"background information: a study on the sensitivity of astrophysical gravitational-wave background searches","arianna i. renzini, thomas a. callister, katerina chatziioannou, will m. farr","high energy astrophysical phenomena (astro-ph.he)","the vast majority of gravitational-wave signals from stellar-mass compact binary mergers are too weak to be individually detected with present-day instruments and instead contribute to a faint, persistent background. this astrophysical background is targeted by searches that model the gravitational-wave ensemble collectively with a small set of parameters. the traditional search models the background as a stochastic field and estimates its amplitude by cross-correlating data from multiple interferometers. a different search uses gravitational-wave templates to marginalize over all individual event parameters and measure the duty cycle and population properties of binary mergers. both searches ultimately estimate the total merger rate of compact binaries and are expected to yield a detection in the coming years. given the conceptual and methodological differences between them, though, it is not well understood how their results should be mutually interpreted. in this paper, we use the fisher information to study the implications of a background detection in terms of which region of the universe each approach probes. specifically, we quantify how information about the compact binary merger rate is accumulated by each search as a function of the event redshift. for the ligo design sensitivity and a uniform-in-comoving-volume distribution of equal-mass m_sol binaries, the traditional cross-correlation search obtains % of its information from binaries up to redshift . (average signal-to-noise-ratio <), and the template-based search from binaries up to redshift . (average signal-to-noise-ratio ~). while we do not calculate the total information accumulated by each search, our analysis emphasizes the need to pair any claimed detection of the stochastic background with an assessment of which binaries contribute to said detection.",2024-03-21
"90",90,"the central black hole in the dwarf spheroidal galaxy leo i not supermassive, at most an intermediate-mass candidate","r. pascale, c. nipoti, f. calura, a. della croce","astrophysics of galaxies (astro-ph.ga)","it has been recently claimed that a surprisingly massive black hole (bh) is present in the core of the dwarf spheroidal galaxy (dsph) leo i. based on integral field spectroscopy, this finding challenges the typical expectation of dsphs hosting bhs of intermediate-mass, since such a bh would better be classified as supermassive. indeed, the analysis points toward leo i harboring a bh with a lower mass limit exceeding a few $^m_\odot$ at $\sigma$, and the no bh case excluded at \% significance. such a value, comparable to the entire stellar mass of the galaxy, makes leo i a unique system that warrants further investigations. using equilibrium models based on distribution functions (dfs) depending on actions $f({\boldsymbol j})$ coupled with the same integral field spectroscopy data and an extensive exploration of a very large parameter space, we demonstrate, within a comprehensive bayesian framework of model-data comparison, that the posterior on the bh mass is flat towards the low-mass end and, thus, that the kinematics of the central galaxy region only imposes an upper limit on the bh mass of few $^m_\odot$ (at $\sigma$). such an upper limit brings back the putative bh of leo i under the category of intermediate-mass bhs, and it is also in line with formation scenarios and expectations from scaling relations at the mass regime of dwarf galaxies.",2024-03-21
"91",91,"fast likelihood-free inference in the lss stage iv era","guillermo franco abellán, guadalupe cañas herrera, matteo martinelli, oleg savchenko, davide sciotti, christoph weniger","cosmology and nongalactic astrophysics (astro-ph.co)","forthcoming large-scale structure (lss) stage iv surveys will provide us with unprecedented data to probe the nature of dark matter and dark energy. however, analysing these data with conventional markov chain monte carlo (mcmc) methods will be challenging, due to the increase in the number of nuisance parameters and the presence of intractable likelihoods. in light of this, we present the first application of marginal neural ratio estimation (mnre) (a recent approach in simulation-based inference) to lss photometric probes: weak lensing, galaxy clustering and the cross-correlation power spectra. in order to analyse the hundreds of spectra simultaneously, we find that a pre-compression of data using principal component analysis, as well as parameter-specific data summaries lead to highly accurate results. using expected stage iv experimental noise, we are able to recover the posterior distribution for the cosmological parameters with a speedup factor of $\sim -$ compared to classical mcmc methods. to illustrate that the performance of mnre is not impeded when posteriors are highly non-gaussian, we test a scenario of two-body decaying dark matter, finding that stage iv surveys can improve current bounds on the model by up to one order of magnitude. this result supports that mnre is a powerful framework to constrain the standard cosmological model and its extensions with next-generation lss surveys.",2024-03-21
"92",92,"foundation models for time series analysis: a tutorial and survey","yuxuan liang, haomin wen, yuqi nie, yushan jiang, ming jin, dongjin song, shirui pan, qingsong wen","machine learning (cs.lg)","time series analysis stands as a focal point within the data mining community, serving as a cornerstone for extracting valuable insights crucial to a myriad of real-world applications. recent advancements in foundation models (fms) have fundamentally reshaped the paradigm of model design for time series analysis, boosting various downstream tasks in practice. these innovative approaches often leverage pre-trained or fine-tuned fms to harness generalized knowledge tailored specifically for time series analysis. in this survey, we aim to furnish a comprehensive and up-to-date overview of fms for time series analysis. while prior surveys have predominantly focused on either the application or the pipeline aspects of fms in time series analysis, they have often lacked an in-depth understanding of the underlying mechanisms that elucidate why and how fms benefit time series analysis. to address this gap, our survey adopts a model-centric classification, delineating various pivotal elements of time-series fms, including model architectures, pre-training techniques, adaptation methods, and data modalities. overall, this survey serves to consolidate the latest advancements in fms pertinent to time series analysis, accentuating their theoretical underpinnings, recent strides in development, and avenues for future research exploration.",2024-03-21
"93",93,"individual and product-related antecedents of electronic word-of-mouth","bogdan anastasiei, nicoleta dospinescu, octavian dospinescu","computers and society (cs.cy)","this research investigates the antecedents of positive and negative electronic word-of-mouth (ewom) propensity, as well as the impact of ewom propensity on the intention to repurchase the product. two types of ewom predictors were considered: product related variables and personal factors. the data were collected through an online survey conducted on a sample of  romanian subjects, and the analysis method was structural equation modeling. our findings show that personal factors - social media usage behavior, marketing mavenism and need to evaluate - are the most important antecedents of the intention to write product reviews and comments online, either positive or negative. from the product related factors, only brand trust influences the propensity to provide ewom. furthermore, both positive and negative ewom intentions are associated with the repurchase intention.",2024-03-19
"94",94,"visualizing progress in broadening participation in computing: the value of context","valerie barr, carla e. brodley, manuel a. pérez-quiñones","computers and society (cs.cy)","concerns about representation in computing within the u.s. have driven numerous activities to broaden participation. assessment of the impact of these efforts and, indeed, a clear assessment of the actual ""problem"" being addressed are limited by the nature of the most common data analysis which looks at the representation of each population as a percentage of the number of students graduating with a degree in computing. this use of a single metric cannot adequately assess the impact of broadening participation efforts. first, this approach fails to account for changing demographics of the undergraduate population in terms of overall numbers and relative proportion of the federally designated gender, race, and ethnicity groupings. a second issue is that the majority of literature on broadening participation in computing (bpc) reports data on gender or on race/ethnicity, omitting data on students' intersectional identities. this leads to an incorrect understanding of both the data and the challenges we face as a field. in this paper we present several different approaches to tracking the impact of bpc efforts. we make three recommendations: ) cohort-based analysis should be used to accurately show student engagement in computing; ) the field as a whole needs to adopt the norm of always reporting intersectional data; ) university demographic context matters when looking at how well a cs department is doing to broaden participation in computing, including longitudinal analysis of university demographic shifts that impact the local demographics of computing.",2024-03-18
"95",95,"synergy of information in multimodal iot systems -- discovering the impact of daily behaviour routines on physical activity level","mohsen shirali, zahra ahmadi, carlos fernández-llatas, jose-luis bayo-monton","computers and society (cs.cy)","the intricate connection between daily behaviours and health necessitates robust behaviour monitoring, particularly with the advent of iot systems. this study introduces an innovative approach, exploiting the synergy of information from various iot sources, to assess the alignment of behaviour routines with health guidelines. we grouped routines based on guideline compliance and used a clustering method to identify similarities in behaviours and key characteristics within each cluster. applied to an elderly care case study, our approach unveils patterns leading to physical inactivity by categorising days based on recommended daily steps. utilising data from wristbands, smartphones, and ambient sensors, the study provides insights not achievable with single-source data. visualisation in a calendar view aids health experts in understanding patient behaviours, enabling precise interventions. notably, the approach facilitates early detection of behaviour changes during events like covid- and ramadan, available in our dataset. this work signifies a promising path for behavioural analysis and discovering variations to empower smart healthcare, offering insights into patient health, personalised interventions, and healthier routines through continuous iot-driven data analysis.",2024-03-17
"96",96,"aci: a cloud-based, service-oriented geospatial cyberinfrastructure to support atmospheric research","wenwen li, hu shao, sizhe wang, xiran zhou, sheng wu","computers and society (cs.cy)","big earth science data offers the scientific community great opportunities. many more studies at large-scales, over long-terms and at high resolution can now be conducted using the rich information collected by remote sensing satellites, ground-based sensor networks, and even social media input. however, the hundreds of terabytes of information collected and compiled on an hourly basis by nasa and other government agencies present a significant challenge for atmospheric scientists seeking to improve the understanding of the earth atmospheric system. these challenges include effective discovery, organization, analysis and visualization of large amounts of data. this paper reports the outcomes of an nsf-funded project that developed a geospatial cyberinfrastructure -- the aci (atmospheric analysis cyberinfrastructure) -- to support atmospheric research. we first introduce the service-oriented system framework then describe in detail the implementation of the data discovery module, data management module, data integration module, data analysis and visualization modules following the cloud computing principles-data-as-a-service, software-as-a-service, platform-as-a-service and infrastructure-as-a-service. we demonstrate the graphic user interface by performing an analysis between sea surface temperature and the intensity of tropical storms in the north atlantic and pacific oceans. we expect this work to contribute to the technical advancement of cyberinfrastructure research as well as to the development of an online, collaborative scientific analysis system for atmospheric science.",2024-03-15
"97",97,"developing and deploying industry standards for artificial intelligence in education (aied): challenges, strategies, and future directions","richard tong, haoyang li, joleen liang, qingsong wen","computers and society (cs.cy)","the adoption of artificial intelligence in education (aied) holds the promise of revolutionizing educational practices by offering personalized learning experiences, automating administrative and pedagogical tasks, and reducing the cost of content creation. however, the lack of standardized practices in the development and deployment of aied solutions has led to fragmented ecosystems, which presents challenges in interoperability, scalability, and ethical governance. this article aims to address the critical need to develop and implement industry standards in aied, offering a comprehensive analysis of the current landscape, challenges, and strategic approaches to overcome these obstacles. we begin by examining the various applications of aied in various educational settings and identify key areas lacking in standardization, including system interoperability, ontology mapping, data integration, evaluation, and ethical governance. then, we propose a multi-tiered framework for establishing robust industry standards for aied. in addition, we discuss methodologies for the iterative development and deployment of standards, incorporating feedback loops from real-world applications to refine and adapt standards over time. the paper also highlights the role of emerging technologies and pedagogical theories in shaping future standards for aied. finally, we outline a strategic roadmap for stakeholders to implement these standards, fostering a cohesive and ethical aied ecosystem. by establishing comprehensive industry standards, such as those by ieee artificial intelligence standards committee (aisc) and international organization for standardization (iso), we can accelerate and scale aied solutions to improve educational outcomes, ensuring that technological advances align with the principles of inclusivity, fairness, and educational excellence.",2024-03-13
"98",98,"kernel alignment for unsupervised feature selection via matrix factorization","ziyuan lin, deanna needell","machine learning (cs.lg)","by removing irrelevant and redundant features, feature selection aims to find a good representation of the original features. with the prevalence of unlabeled data, unsupervised feature selection has been proven effective in alleviating the so-called curse of dimensionality. most existing matrix factorization-based unsupervised feature selection methods are built upon subspace learning, but they have limitations in capturing nonlinear structural information among features. it is well-known that kernel techniques can capture nonlinear structural information. in this paper, we construct a model by integrating kernel functions and kernel alignment, which can be equivalently characterized as a matrix factorization problem. however, such an extension raises another issue: the algorithm performance heavily depends on the choice of kernel, which is often unknown a priori. therefore, we further propose a multiple kernel-based learning method. by doing so, our model can learn both linear and nonlinear similarity information and automatically generate the most appropriate kernel. experimental analysis on real-world data demonstrates that the two proposed methods outperform other classic and state-of-the-art unsupervised feature selection methods in terms of clustering results and redundancy reduction in almost all datasets tested.",2024-03-13
"99",99,"evaluating pedagogical incentives in undergraduate computing: a mixed methods approach using learning analytics","laura j. johnston, takoua jendoubi","computers and society (cs.cy)","in the context of higher education's evolving dynamics post-covid-, this paper assesses the impact of new pedagogical incentives implemented in a first-year undergraduate computing module at university college london. we employ a mixed methods approach, combining learning analytics with qualitative data, to evaluate the effectiveness of these incentives on increasing student engagement.
a longitudinal overview of resource interactions is mapped through bayesian network analysis of moodle activity logs from  students. this analysis identifies early resource engagement as a predictive indicator of continued engagement while also suggesting that the new incentives disproportionately benefit highly engaged students. focus group discussions complement this analysis, providing insights into student perceptions of the pedagogical changes and the module design. these qualitative findings underscore the challenge of sustaining engagement through the new incentives and highlight the importance of communication in blended learning environments.
our paper introduces an interpretable and actionable model for student engagement, which integrates objective, data-driven analysis with students' perspectives. this model provides educators with a tool to evaluate and improve instructional strategies. by demonstrating the effectiveness of our mixed methods approach in capturing the intricacies of student behaviour in digital learning environments, we underscore the model's potential to improve online pedagogical practices across diverse educational settings.",2024-03-13
"100",100,"qubicsv: an open-source data storage and visualization platform for collaborative qubit control","devanshu brahmbhatt, yilun xu, neel vora, larry chen, neelay fruitwala, gang huang, qing ji, phuc nguyen","quantum physics (quant-ph)","developing collaborative research platforms for quantum bit control is crucial for driving innovation in the field, as they enable the exchange of ideas, data, and implementation to achieve more impactful outcomes. furthermore, considering the high costs associated with quantum experimental setups, collaborative environments are vital for maximizing resource utilization efficiently. however, the lack of dedicated data management platforms presents a significant obstacle to progress, highlighting the necessity for essential assistive tools tailored for this purpose. current qubit control systems are unable to handle complicated management of extensive calibration data and do not support effectively visualizing intricate quantum experiment outcomes. in this paper, we introduce qubicsv (qubit control storage and visualization), a platform specifically designed to meet the demands of quantum computing research, focusing on the storage and analysis of calibration and characterization data in qubit control systems. as an open-source tool, qubicsv facilitates efficient data management of quantum computing, providing data versioning capabilities for data storage and allowing researchers and programmers to interact with qubits in real time. the insightful visualization are developed to interpret complex quantum experiments and optimize qubit performance. qubicsv not only streamlines the handling of qubit control system data but also improves the user experience with intuitive visualization features, making it a valuable asset for researchers in the quantum computing domain.",2024-03-07
"101",101,"can the nanograv observations constrain the geometry of the universe?","matteo califano, rocco d'agostino, daniele vernieri","cosmology and nongalactic astrophysics (astro-ph.co)","the theory of inflation provides an elegant explanation for the nearly flat universe observed today, which represents one of the pillars of the standard cosmological model. however, recent studies have reported some deviations from a flat geometry, arguing that a closed universe would be instead favored by observations. given its central role played in the cosmological context, this paper revisits the issue of spatial curvature in light of the stochastic gravitational wave background signal recently detected by the nanograv collaboration. for this purpose, we investigate the primordial gravitational waves generated during inflation and their propagation in the post-inflationary universe. we propose a new parametrization of the gravitational wave power spectrum, taking into account spatial curvature, the tensor-to-scalar ratio and the spectral index of tensor perturbations. therefore, we compare the theoretical predictions with nanograv data to possibly constrain the geometry of the universe. we find that the choice of the priors has a significant effect on the computed posterior distributions. in particular, using flat uniform priors results in $\omega_{\mathcal{k},}= . \pm .$ at the \% confidence level. on the other hand, imposing a planck prior, we obtain $\omega_{\mathcal{k},}= -. \pm .$ at the \% confidence level. this result aligns with the analysis of the cosmic microwave background radiation, and no deviations from a flat universe are found.",2024-03-22
"102",102,"closing the information gap in unidentified anomalous phenomena (uap) studies","gretchen r. stahlman","digital libraries (cs.dl)","unidentified anomalous phenomena (uap), also known as unidentified flying objects (ufos), has shifted from being a stigmatized topic on the fringes of scientific inquiry to a legitimate subject of scientific interest with a need for high quality, curated data, and rigorous scientific investigation. this paper presents a preliminary scoping review and analysis of scholarly literature related to uap from  until , exploring a diverse range of research areas across disciplines to illustrate scholarly discourse about the topic. the paper focuses on characterizing papers published in recent years and notes that library & information science is unrepresented in the current uap literature. the paper also discusses how researchers across the ifields can contribute to uap studies through inherent expertise such as data curation and data science as well as information behavior and information literacy, among others. the paper concludes by emphasizing that uap studies offer a rich intellectual realm for information science research, with the ifields well positioned to play a crucial role in supporting and engaging in the study of uap.",2024-03-22
"103",103,"energy-dependent boosted dark matter from diffuse supernova neutrino background","anirban das, tim herbermann, manibrata sen, volodymyr takhistov","high energy physics - phenomenology (hep-ph)","diffuse neutrinos from past supernovae in the universe present us with a unique opportunity to test dark matter (dm) interactions. these neutrinos can scatter and boost the dm particles in the milky way halo to relativistic energies allowing us to detect them in terrestrial laboratories. focusing on generic models of dm-neutrino and electron interactions, mediated by a vector or a scalar boson, we implement energy-dependent scattering cross-sections and perform detailed numerical analysis of dm attenuation due to electron scattering in-medium while propagating towards terrestrial experiments. we set new limits on dm-neutrino and electron interactions for dm with masses in the range $\sim (., ^)~$mev, using recent data from xenonnt, lux-zeplin, and pandax-t direct detection experiments. we demonstrate that consideration of energy-dependent cross-sections for dm interactions can significantly affect constraints previously derived under the assumption of constant cross-sections, modifying them by multiple orders of magnitude.",2024-03-22
"104",104,"learning topological representations for deep image understanding","xiaoling hu","computer vision and pattern recognition (cs.cv)","in many scenarios, especially biomedical applications, the correct delineation of complex fine-scaled structures such as neurons, tissues, and vessels is critical for downstream analysis. despite the strong predictive power of deep learning methods, they do not provide a satisfactory representation of these structures, thus creating significant barriers in scalable annotation and downstream analysis. in this dissertation, we tackle such challenges by proposing novel representations of these topological structures in a deep learning framework. we leverage the mathematical tools from topological data analysis, i.e., persistent homology and discrete morse theory, to develop principled methods for better segmentation and uncertainty estimation, which will become powerful tools for scalable annotation.",2024-03-22
